example_id,customer_tweet_id,agent_tweet_id,customer_text,agent_text,proposed_intent,annotator_label,annotator_notes
GS-0011,1926162,1926161,@115858 can you please stop turning my Bluetooth on,@573259 Hello there. Can you share with us which device and the current iOS you're using? DM us and we'll continue from there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: network_connectivity,network_connectivity,
GS-0012,262214,262212,@115858 worse update regarding battery life.  It just sucks.  Can’t be charging my phone twice a day.  Biggest regret!!!  #iOs11Battery,@178456 We'd like to help. Are you experiencing this issue with the latest update of iOS 11.0.2?,MACHINE_CANDIDATE: battery_drain (also_matched: charging_issue),battery_drain,
GS-0013,2471959,2471958,@AppleSupport how can I update my payment info for Apple Music?,@706933 We'd love to help. You can update your payment details using the steps here: https://t.co/Y0YoIRcZa7,MACHINE_CANDIDATE: howto_or_feature,subscription_management,
GS-0014,1903551,1903550,I hate the fact that you can’t just use your email to get the damn verification code to sign into your iCloud. Wtf @115858,@567283 We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: account_access,account_access,
GS-0015,2860050,2860048,Maps Transit widget hasn’t worked since iOS 11. Fix it. @AppleSupport #iOS11 #iPhone,@590849 Thanks for reaching out. We want to help. Can you tell us more about what is happening when you try to use the transit widget?,MACHINE_CANDIDATE: software_update_issue (also_matched: app_issue),app_issue,
GS-0016,1709348,1709347,@115858 fix your shit with the damn I️,@517951 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,MACHINE_CANDIDATE: other_or_unclear,other_or_unclear,
GS-0017,1405446,2433681,@AppleSupport I ordered mine to apple store and there’s no sim free so i chose tmobile and i paid full price. Will the phone be unlocked? https://t.co/oE4y260D4v,@698385 Congratulations on your new iPhone X! Send us a DM and verify for us the country you're located in. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: network_connectivity,howto_or_feature,
GS-0018,2485713,2485711,Your iPhone hasn’t been backed up for 15 weeks well every time I try it says not enough storage and I’ve deleted all my pictures due to it @AppleSupport,"@710035 Making sure you can back up your data and ensure it is secure is definitely important! But no worries, we're here to help out with this. What type of iPhone do you have and which version of the iOS is installed? Are you trying to back up to iCloud or iTunes?",MACHINE_CANDIDATE: storage_issue,storage_issue,
GS-0019,258935,258934,"@AppleSupport I have an Apple ID, but when I try to setup two-Factor authentication, it shows +237 Cameroon but refuse all our 9-digit numbers.",@177561 We definitely want to help you. Click here to reach out Apple ID experts: https://t.co/UJm15vmMM2,MACHINE_CANDIDATE: account_access,account_access,
GS-0020,1436690,1436689,Hello @AppleSupport why does my iphone 7plus keep turning the wifi on by itself even though i deliberately make sure to turn it off?,"@453522 If you're disabling Wi-Fi from Control Center, it behaves a bit differently in iOS 11. Read more here: https://t.co/G7BHuQnDS6",MACHINE_CANDIDATE: network_connectivity,network_connectivity,
GS-0021,2279193,2279191,"Buy from @115858 open product (2 days after purchase), faulty, call support, solution: book appointment with a “genius” (which btw hahahah) in a WEEK to resolve.                      Buy from (@)anyotherretailer, open product, faulty, soultion: bring in for refund or replacement.",@662652 We'd be happy to address this with you. What country are you located in?,MACHINE_CANDIDATE: payment_or_refund,hardware_issue,
GS-0022,2025630,2025629,Never saw any problem with my charger till yesterday when it decided to split in half @115858 fix ya damn trash chargers,@599028 We're here to help. DM us which country you're in and if this is the charger that came with your iPhone and we'll get started. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: charging_issue,charging_issue,
GS-0023,2533284,2533282,@AppleSupport is there a yearly plan for icloud storage?,@720896 Great question! iCloud plans are available at monthly rates. You can see more info about that here: https://t.co/07sCQA7yoT,MACHINE_CANDIDATE: storage_issue,subscription_management,
GS-0024,359538,359537,Pq eu n to conseguindo reinstalar apps da App Store???? @AppleSupport #AppStore,"@201146 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0025,1363298,1363299,"@AppleSupport The device has been restarted, this happens to all contacts, cannot download over cellular.",@437433 Thanks for getting back to us. Let's meet in DM to work on these issues together. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: network_connectivity,network_connectivity,
GS-0026,1714669,1714671,@AppleSupport whenever i try to play a song it comes up with a blank white screen and it happens when i’m on wi-fi and when using data,"@519306 Thanks for the information. Meet us in DM so we can collect a few more details, and work to resolve your issue. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: network_connectivity,app_issue,
GS-0027,2271841,2271839,"Hey @AppleSupport same problem again. When I click ""update all"" Appstore freezes. What do I do? https://t.co/FM8I9fxN45",@524087 Thanks for reaching out to us. Do you experiencing the issue with the App Store after restarting your device?,MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0028,1224198,1224197,@AppleSupport Thing happens no WiFi and data,@158799 OK. Is this occurring with one song or artist in particular or with any song you try to add to your library?,MACHINE_CANDIDATE: network_connectivity,network_connectivity,
GS-0029,2557273,2557272,"@AppleSupport Paid for iCloud, only to be told that yall don't (really) support Windows after trying to restore to a new windows box and I am SOL on getting a refund after paying for a service that doesn't work. #fraud",@726023 We'd like to look into this with you. DM us and we'll continue with you there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: payment_or_refund,payment_or_refund,
GS-0030,717614,717613,"iM TALKING TO A CUTE GUY ON TINDER AND EVERY TIME I MESSAGE HIM IT CRASHES FIX IT @115858 OR IM GONNA GO ""I WAS TOLD BY APPLECARE"" ON UR ASS",@291829 Thanks for reaching out to us. We'll be glad to help. Check out the steps in this article for help: https://t.co/fUZ0NRJxcn,MACHINE_CANDIDATE: subscription_management,app_issue,
GS-0031,1780446,1780445,"Hey @115858, how about the next update fixes my shitty battery life. 30 minutes of Pandora shouldn’t put me at 64%... #kthx",@534913 This isn't what we want to have happen when you update your iPhone. Let's pair up in DM to take a closer look. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: battery_drain,battery_drain,
GS-0032,1976583,1976582,@AppleSupport my charger burst in the morning and I was sleeping next to it. Here is an image as a proof. As you see lid came off. https://t.co/Ia5ltS9UzF,@585327 We want to work with you on this issue. DM us and let us know which country you're located in. We'll go from there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: charging_issue,charging_issue,
GS-0033,168782,2432856,@AppleSupport How do you close a app when it crashes? When you had the home button you could double tap and force quit!,@698207 We'd like to help! Check out this article: https://t.co/RqqIctrDWV,MACHINE_CANDIDATE: hardware_issue,howto_or_feature,
GS-0034,2626675,2626674,@AppleSupport I can’t sign into my iCloud on my mac because it’s not letting me type in the verification code anywhere for my Apple ID???,@741913 Let's take a look together and see what's going on. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: account_access,account_access,
GS-0035,1592034,1592032,@AppleSupport why does it say my iCloud storage is full even though I have like 1.9GB remaining. https://t.co/QFHvTmnUVs,"@438077 We’d like to help. Have you recently changed your storage plan? Also, which iOS version are you using?",MACHINE_CANDIDATE: storage_issue,storage_issue,
GS-0036,2438532,2438529,"@AppleSupport How do you play , recent bought songs in a row?? It seams impossible, on iPhone.  In iTunes , Please just tell me straight forward, Please again. Thanks in advance.","@699451 We can help with that. When you launch the Music app and choose the Library option, you'll see Recently Added. This will include anything recently added to the library and not just purchases, but recent purchases should be there.",MACHINE_CANDIDATE: app_issue,howto_or_feature,
GS-0037,2508231,2508230,@115858 @AppleSupport @2310 @116333 @4032 @154402 @128305 -Do Apple care &amp; tak respnsibility of actions by their support staff https://t.co/poyEMXHCzz,@715075 Let's see what we can do to help out. Select the following link to join us in a DM and we'll continue there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: subscription_management,other_or_unclear,
GS-0038,2042364,2042363,@AppleSupport is there a limit to the number of shared calendars someone can subscribe to from me? Seemingly it’s 4… that right?,@453037 Thanks for reaching out. DM any error you are seeing so we can help out. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: subscription_management,howto_or_feature,
GS-0039,245973,245972,"Hello @AppleSupport, is it possible to buy a Apple Watch Series 3 in different colors? ( i prefer Gold and Blue cobalt Sport band).",@174422 We're excited for you to get the new Apple Watch. Check here to shop: https://t.co/YzzkPcZVjZ,MACHINE_CANDIDATE: howto_or_feature,howto_or_feature,
GS-0040,143509,143507,@AppleSupport hello I’ve been trying to get verification code for signing in to my apple ID but I didn’t receive any code. Need help.,"@148419 Hi there! You caught us while we were out of the office. Were you able to get that verification code? If not, where are you attempting to receive it? On an iPhone?",MACHINE_CANDIDATE: account_access,account_access,
GS-0041,258937,258936,@115858 @AppleSupport why is two-factor authentication not working in my region +237 Cameroon. 9digits mobile number.,@177561 We can help out. We'd need to get you to our Apple ID experts. They can be reached here:  https://t.co/UJm15vmMM2 https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: account_access,account_access,
GS-0042,1151810,1151809,"@AppleSupport Hi there, how do I preorder an unlocked iPhone X without a sim card? Is it true that T-mobile version will manage?","@391051 We'll get you to the right spot. For questions on pre-ordering, reach out to our Online Sales team: https://t.co/8yjRd1Xo0i",MACHINE_CANDIDATE: network_connectivity (also_matched: howto_or_feature),howto_or_feature,
GS-0043,36070,36068,"Can you help me update to iOS 11.1 @AppleSupport it says ""verifying update"" and then error every time I try to install it.",@123843 Hey there. We'd be happy to help. Send us a DM so we can look into the issue with you there. https://t.co/GDrqU2kzhr,MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0044,667071,667069,@278960 @AppleSupport It had like 20% left but as soon as it happened I plugged it up and it's been plugged in for about 2 hours,"@278959 Thank you for reaching out, we're here to help. We know how important it is to be able to use your iPhone so let's try these steps: https://t.co/8MvHMFZ83h",MACHINE_CANDIDATE: charging_issue,charging_issue,
GS-0045,2631565,2631563,"So it’s taken3 @AppleSupport senior engineers 2 weeks now, and my 3 month old iPhone battery is worse than ever, keeps crashing, basically useless, think a refund is on the cards and spend it on a Samsung I can actually use #Appleareshite","@138177 We'd like to learn a bit more about the trouble you're running into with your iPhone, and the interactions you've had so far. Meet us in DM where we can investigate further. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: payment_or_refund,battery_drain,
GS-0046,2286087,2286086,"@AppleSupport hi team, I just took a subscription for tinder but I cancelled it immediately. How can I get the refund for that subscription. Please tell me.",@664307 For issues with an iTunes purchase or subscription you'd want to reach out to our iTunes Store support team for assistance. You can connect with them here: https://t.co/SDIe7UiyJN,"MACHINE_CANDIDATE: payment_or_refund (also_matched: subscription_management,howto_or_feature)",payment_or_refund,
GS-0047,1837513,1837512,@AppleSupport why does the alarm on iOS 11 not make noise when the phone is on vibrate anymore? Made me late for lecture,"@550872 Let's get this resolved, we know how important your alarms are. Please DM what Apple device you're using, we'll meet you there. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0048,2038099,2038098,hey @115858 make a MacBook charger that doesn’t break every month thx i can’t keep buying these,@602629 We'll be more than happy to look into service options for your MacBook charger. Send us a DM with your country to get started. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: charging_issue,charging_issue,
GS-0049,710103,710101,@AppleSupport Bought extra iCloud storage today (50GB to 200GB) &amp; it's showing on my account I had to confirm my bank card details too HELP?,"@289798 To clarify, are you not showing the upgrade across all devices? Let us know the details. We'd like to help.",MACHINE_CANDIDATE: storage_issue,payment_or_refund,
GS-0050,832197,832195,@AppleSupport accidentally purchased something from the App Store I didn’t mean to purchase. Please help!,"@318202 We're here to help. To get this taken care of, you will need to reach out directly to our iTunes team: https://t.co/SDIe7UiyJN",MACHINE_CANDIDATE: app_store_issue,payment_or_refund,
GS-0051,2020068,2020067,@AppleSupport these are the second beats X that broke on me in less than 6 months I want my money back,"@597373 That's not the experience we want you to have. DM us your country, and we'll see how we can help. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: payment_or_refund,payment_or_refund,
GS-0052,1680013,1680015,@AppleSupport Not working. See pic. I️ tried. https://t.co/17qrAn3Bl8,"@510882 Let’s take a closer look at this. Meet us over in DM, and we’ll provide some more information to you. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: other_or_unclear,other_or_unclear,
GS-0053,2255486,2255485,"@AppleSupport Battery life reduced to 1/2 a day, iMessages are hidden by reply window/keyboard, processing time slowed considerably",@656938 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: battery_drain,software_update_issue,
GS-0054,2347585,2347587,@AppleSupport My phone is getting over heated when I am watching you tube and on call give me valuable suggestions and send me apple care centre’s in India Hyderabad Madhapur Hitech city surroundings,@678684 Is it only heating up while watching YouTube?  This can be normal and there's more info on that here: https://t.co/otCvUAaFQq,MACHINE_CANDIDATE: subscription_management,hardware_issue,
GS-0055,429562,429561,@115858 @AppleSupport I received this invoice from @118721 billed to a name and address I don't recognise. https://t.co/Ge4ok7UTbd,@217164 Hello there. Check this link for tips to identify Phishing emails https://t.co/6Ye6EtSytB Questions? Let us know.,MACHINE_CANDIDATE: payment_or_refund,payment_or_refund,
GS-0056,1880262,1880260,@AppleSupport I've been locked out of messenger on my iPad.,@262706 Let's work together to get you pointed in the right direction. DM us with more details and we'll meet you there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: account_access,account_access,
GS-0057,1537690,1537693,@AppleSupport It was restored but I don’t understand why that needed to happen for a software upgrade. My free iCloud storage apparently ran out June 26.,@476699 Your iPhone shouldn't have restored to factory settings if you were just updating iOS software. Do you have an iTunes backup?,MACHINE_CANDIDATE: storage_issue,software_update_issue,
GS-0058,2924639,2924638,@AppleSupport I've also tried to send an iMessage to another person which for them it works but for this person it doesn't. Usually it goes without a hitch.,"@809262 Okay, thanks. Let's try these steps together: https://t.co/2hgNQH8Vvq",MACHINE_CANDIDATE: app_issue,app_issue,
GS-0059,1995365,1995364,@115858 fix the keyboard.,@590023 Hello! Let's work together to figure this out. What device &amp; operating system are you using? What's the issue? DM to let us know. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: other_or_unclear,hardware_issue,
GS-0060,1149744,1149747,"@AppleSupport When I launch appstore it asks me to review my acc, but when I press review I get a blank page. Tried on PC too.",@390558 Let's try restarting the computer and see if you can review the account screen from there.,MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0061,661669,2578605,@AppleSupport Thanks to this update my battery now lasts about 30 minutes. Switching off at 20%. Text alerts are going back 500 days and going through every text every restart. No 3D Touch.. it’s bad. iPhone 6s,"@150615 We're here to help, this is certainly not the experience we want for our customers. Are you running the latest iOS version, 11.1.1? If not we'd recommend backing up and updating. Let us know in DM. https://t.co/GDrqU2kzhr",MACHINE_CANDIDATE: other_or_unclear,software_update_issue,
GS-0062,2476173,2476172,@118721 @115858 I CANT GET ANY APPS BECAUSE THE APP STORE IS PLAYING UP IT KEEPS SAYING DONE AND THEN ASKING FOR MY PASSWORD AGAIN! FIX YOUR SHIT APPLE!!!!!! 🤬🤬🤬🤬🤬 https://t.co/suqThv4iFl,@707833 Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0063,1887610,1887609,@115858 @AppleSupport the latest IOS update is trash,"@562972 Thanks for reaching out! Are you experiencing issues since updating? If so, we’d be happy to help! Let us know in DM to proceed. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0064,2296294,2296292,@AppleSupport these last two updates for my iPhone 7 really sucks keeps freezing and light adjustment keeps going off and battery life is awful,"@666704 We're here for you! Send us a DM with your current iOS version, and we'll take a closer look at the issues you've been experiencing together. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: battery_drain,software_update_issue,
GS-0065,1748813,1748812,Auto correct bug for iPhone I️ is driving us all cray cray! Should have included the fix in iOS 11.1 🙄 @AppleSupport,@527123 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.,MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0066,2039437,2039436,@AppleSupport I️ would like a refund on this update https://t.co/bKaIYuk0am,@603023 We'd love to help with your text! Please send us a DM with which version of iOS you're using. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: payment_or_refund,payment_or_refund,
GS-0067,1874856,1874855,@AppleSupport @115858 If I can't downgrade do you want to pay for my new hardware? How about my salary the next week because I can't work without all this??!,"@349063 While you cannot revert to an old iOS, we can review your options. Please DM us with details about the app you cannot use. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: hardware_issue,software_update_issue,
GS-0068,1807893,1807892,@AppleSupport my speaker phone is still not working after updating to iOS 11. Already went in &amp; got a replacement 7+ and still having probs,@543135 We're here to help. Did you restore the replacement iPhone from a backup? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: software_update_issue (also_matched: hardware_issue),software_update_issue,
GS-0069,1849660,1849659,"@AppleSupport Always restart phone and App Store app every time this happens, which seems to be a lot lately. Web pages are not affected by this.",@329722 Have you tried all the steps here without success? https://t.co/yoNhV7Et2A DM us if you're still unable to connect. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0070,1570350,1570349,"""On ne peut envisager un remplacement qu'à partir de la 4ème réparation sur les mêmes pièces""
-Conseiller #applecare @AppleSupport ! https://t.co/IB8utF5VuU",@484273 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,MACHINE_CANDIDATE: subscription_management,other_or_unclear,
GS-0071,1795162,1795161,"@115858 purchased iphone 6, speaker is not working properly, got headache since last two days didn’t get any help.",@295660 We want to help with the speaker on your iPhone 6. Could you please provide a few details for us in DM. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: hardware_issue,hardware_issue,
GS-0072,2570160,2570159,@AppleSupport Can I get a replacement cap for my Apple Pencil if my iPad has AppleCare?,@728920 We'd like to provide you the best details. DM us what country or region you're located in. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: subscription_management,howto_or_feature,
GS-0073,2308184,2308182,@AppleSupport How do I turn on sound notifications on the X? I️ can’t hear my alerts. #iphoneX,"@669544 On the left hand side is a ring/silent switch, please make sure that is switched up. You can then adjust sounds in Settings &gt; Sounds. If we're wanting to adjust the notification options for a specific app, Settings &gt; Notifications.",MACHINE_CANDIDATE: howto_or_feature,howto_or_feature,
GS-0074,253479,253478,"@AppleSupport I bought the iphone 7 plus like a week ago and i am having the worst experience with a phone i have ever had, thanks to ios 11",@176255 We want to help. DM us with more info and we'll continue there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0075,2859994,2859992,"@AppleSupport Hello, I just got a scam email from (__email__) with a name that appears as ""Apple ID"", talking about fake purchases and asking me to click on the attached ""receipt""","@794743 Thanks for reaching out. Did you click on anything in the email or enter any information? Just to be safe, you can change your password at https://t.co/bq19gX3X68. Also, here is a link with more information about phishing emails: https://t.co/LNMCdqt6fD",MACHINE_CANDIDATE: payment_or_refund,payment_or_refund,
GS-0076,1305648,1305647,Grrrr @115858 !! Billing me for Apple Music but I can’t listen!! You should reimburse people who are also having this issue. And the online chat to your company sucks!! #needmusic #roadtriptomorrow,@425110 We’d like to see how we can help. Can you DM us some more details about the issue you're having? https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: payment_or_refund,subscription_management,
GS-0077,1291200,1291199,"Dear @115858, I used one app on my iPhone 7 for about 10min since 10am when it finished charging. It’s 3:00 &amp; my battery is at 26%. I call that ridiculous, don’t you? #FixYourBatteryIssues",@421953 We want to help you out. Send us a DM and let us know what version of iOS you are running and we'll go from there. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: charging_issue,battery_drain,
GS-0078,2281732,2281733,@AppleSupport only shows one subscription,"@269166 Thanks for checking. For your privacy, let's meet up in DM so we can take a look at your subscriptions. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: subscription_management,subscription_management,
GS-0079,506581,506580,@AppleSupport all apps crashing in a few minutes after my 11.1.2 update. This is embarrassing and frustrating at the same time. Please help,"@236239 We'd love to help. First, we do need to make sure that the apps themselves are up to date in App Store &gt; Updates. Have you restarted the iPhone? DM us more info, including which apps are crashing, and we'll dig in deeper. https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: app_issue,app_issue,
GS-0080,1277209,1277208,"@AppleSupport hi, is this normal when I search “bitcoin” in the Podcast app, I don’t get results like this one: https://t.co/7zALluEjWA
It has the word bitcoin in its title though!",@418920 We'd like to look into this with you. Please send us a DM with the device this is happening on to continue: https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: app_issue,app_issue,
GS-0081,2110823,2110821,"@AppleSupport What have you done to my battery life with 11.1.1? I’m dying here, on my iPad and my iPhone! #batterydrain #powersuck Fix NOW!",@622669 Having a dependable charge is important and we'd like look into this issue with you. Please DM us details regarding the behavior you're experiencing with your battery and we'll get right to work. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: battery_drain,battery_drain,
GS-0082,495155,496880,"@AppleSupport Seems like some extension I have installed it blocking the two-factor authentication screen from appearing. I was able to login to the website after opening an Incognito Window (which loads a browser window without the extensions) Like a ""Safe Mode""","@233075 Thanks for exploring that it may be an extension conflict. Are you able to see if you can access from a clean version of the browser, with no add-ons? Are you able to access https://t.co/tmRhWEkIq4 from a different browser with no issues?",MACHINE_CANDIDATE: account_access,account_access,
GS-0083,1242272,1242274,@AppleSupport Sure doesn’t. I’m just tired of spending money on a product that’s not great on software and hardware. I was always #teamiphone not sure now,@411413 We completely understand your concerns. There's also more that we can look into together. Meet us in a DM to continue. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: hardware_issue,other_or_unclear,
GS-0084,336554,336556,"@AppleSupport After updatimg my iphone and ipad to iOS11 icloud photo library stoped syncing. No new photos transfered between devices. Any help, please?","@196298 We certainly want that to work for you, and understand the importance of being able to sync. Are you updated to iOS 11.0.2?",MACHINE_CANDIDATE: software_update_issue (also_matched: app_issue),software_update_issue,
GS-0085,1173069,1173067,@AppleSupport New Itunes doesnot have the app store. Kindly help.,"@395908 Hello, iOS apps are now managed with your iOS device. Read about the changes to iTunes here: https://t.co/4lpVKIqKVv",MACHINE_CANDIDATE: app_store_issue (also_matched: app_issue),app_store_issue,
GS-0086,243291,243287,"@AppleSupport is the App Store down? I can’t download or update any apps, the circle keeps spinning and I’ve been trying for over 12 hours",@173771 Thanks for reaching out. Let's take a closer look together. Does this happen over both Wi-Fi and cellular data?,MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0087,199371,199369,@115858 this update has ruined my experience with my phone and has made @318 unusable. This really sucks. How do I go back?,"@162993 Going back to the previous software isn’t an option, but we can assist you with your iPhone. What are you noticing with Podcasts?",MACHINE_CANDIDATE: howto_or_feature,software_update_issue,
GS-0088,1868801,1868800,@AppleSupport updated my phone and now I can’t make or take any calls as well as videos. 🙃,@558214 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0089,663903,663900,"@115858 We have a problem. MBP Touch Bar, High Sierra. https://t.co/etdAXlfCne","@154042 You're in the right place for help! From the photo you provided we see that the Finder became unresponsive and isn't relaunching, is that correct?",MACHINE_CANDIDATE: software_update_issue (also_matched: hardware_issue),hardware_issue,
GS-0090,25424,25422,@applesupport Bluetooth connection iPhone X to Infiniti is terrible. Garbled and scratchy cutting in and out &gt;30% of time. Didn't happen W iPhone 6!!,"@121503 We want you to be able to enjoy your iPhone X with your Bluetooth devices. We'll do all we can to help. To start, what iOS version is currently installed? Does this issue occur with any other Bluetooth devices that you connect to?",MACHINE_CANDIDATE: network_connectivity,network_connectivity,
GS-0091,926714,926713,Does the iPhone 5 use the same charging cord as an iPhone 8? Does the 8 have an option of whether to go cordless or not for charging? @115858,"@339891 Hi there, our support team in sales will be happy to help. You can contact them here: https://t.co/8yjRd1Xo0i",MACHINE_CANDIDATE: charging_issue,howto_or_feature,
GS-0092,172937,172936,"@115858 IF I GET ANOTHER ""Storage Almost Full"" NOTIFICATION IMMA SNAP",@156461 Let us help. Can you tell us which device you're using and the software version? That way we can better assist with the storage notification.,MACHINE_CANDIDATE: storage_issue,storage_issue,
GS-0093,1261256,1261259,"@AppleSupport I need a mail to contact URGENT to contact you, I feel cheated and I feel that anybody listen to me",@376190 Let's work on this further in DM. Send us which country you are in. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: app_issue,other_or_unclear,
GS-0094,881153,881151,@AppleSupport is there a reason my phone wont acknowledge Spotify in my control centre in iOS 11? Or the button on my headphones,@329228 Happy to help look into this with you. What version of iOS 11 are you using? Go to Settings &gt; General &gt; About to see.,MACHINE_CANDIDATE: software_update_issue,app_issue,
