example_id,customer_tweet_id,customer_text,annotator_label,predicted_intent,classifier_confidence,top_retrieval_similarity,reply_status,reply_text,escalation_decision,escalation_reason_code,escalation_reason
GS-0011,1926162,@115858 can you please stop turning my Bluetooth on,network_connectivity,network_connectivity,0.4965706631415725,0.5548562210183399,instructional,"Thanks for reaching out about network connectivity.
Based on how similar historical cases were handled, here is what support typically suggested next:
- @663868 With iOS 11, Bluetooth will turn on when you restart your iPhone.
- Check out https://t.co/G7BHuQnDS6 for details regarding these features.",escalate,low_classifier_confidence,Classifier confidence (0.4966) is below required threshold (0.6500).
GS-0012,262214,@115858 worse update regarding battery life.  It just sucks.  Can’t be charging my phone twice a day.  Biggest regret!!!  #iOs11Battery,battery_drain,battery_drain,0.8200450983438073,0.2658645110668054,dm_redirect,"Thanks for writing in about battery drain. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. What issue(s) are you experiencing? Once we have that, a specialist can take the next step with you.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2659) is below required threshold (0.3000) or no evidence returned.
GS-0013,2471959,@AppleSupport how can I update my payment info for Apple Music?,subscription_management,payment_or_refund,0.6215839547428423,0.3451207672448806,dm_redirect,"Thanks for writing in about payment or refund. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share a bit more detail about what you are seeing? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.6216) is below required threshold (0.6500).
GS-0014,1903551,I hate the fact that you can’t just use your email to get the damn verification code to sign into your iCloud. Wtf @115858,account_access,account_access,0.92913376667295,0.34419144854673905,dm_redirect,"Thanks for writing in about account access. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,historical_resolution_requires_handoff,Historical resolution pattern requires direct message or private agent handoff.
GS-0015,2860050,Maps Transit widget hasn’t worked since iOS 11. Fix it. @AppleSupport #iOS11 #iPhone,app_issue,software_update_issue,0.5612045418885072,0.35822268314867123,dm_redirect,"Thanks for writing in about software update issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.5612) is below required threshold (0.6500).
GS-0016,1709348,@115858 fix your shit with the damn I️,other_or_unclear,other_or_unclear,0.4687492158331289,0.6578641368552253,dm_redirect,"Thanks for writing in about other or unclear. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,unsupported_or_unclear_intent,Predicted intent 'other_or_unclear' is unsupported for automated handling.
GS-0017,1405446,@AppleSupport I ordered mine to apple store and there’s no sim free so i chose tmobile and i paid full price. Will the phone be unlocked? https://t.co/oE4y260D4v,howto_or_feature,network_connectivity,0.3715520615145907,0.2617172091820206,dm_redirect,"Thanks for writing in about network connectivity. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.3716) is below required threshold (0.6500).
GS-0018,2485713,Your iPhone hasn’t been backed up for 15 weeks well every time I try it says not enough storage and I’ve deleted all my pictures due to it @AppleSupport,storage_issue,storage_issue,0.6198039795292816,0.31840147039238936,instructional,"Thanks for reaching out about storage issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Go to Settings &gt; General &gt; About for the version.
- @682682 Go to Settings &gt; [ Your Name ] &gt; iCloud &gt; iCloud Backup &gt; tap to disable
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.6198) is below required threshold (0.6500).
GS-0019,258935,"@AppleSupport I have an Apple ID, but when I try to setup two-Factor authentication, it shows +237 Cameroon but refuse all our 9-digit numbers.",account_access,account_access,0.9122316202683559,0.3050574938900494,instructional,"Thanks for reaching out about account access.
Based on how similar historical cases were handled, here is what support typically suggested next:
- For any available information on two-factor authentication, check out: https://t.co/RONuUjClwW
If this still does not resolve it, similar cases were often moved to DM for closer help.",auto_handle,high_confidence_supported_case,"High confidence classification, strong retrieval similarity, and instructional reply support automated response."
GS-0020,1436690,Hello @AppleSupport why does my iphone 7plus keep turning the wifi on by itself even though i deliberately make sure to turn it off?,network_connectivity,network_connectivity,0.4816271555575736,0.42404611397002656,instructional,"Thanks for reaching out about network connectivity.
Based on how similar historical cases were handled, here is what support typically suggested next:
- To turn off the Wi-Fi feature of your iPhone, go to Settings &gt; Wi-Fi in iOS 11.
Also helpful to confirm: To start, can you tell us which iPhone and iOS device you're using?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.4816) is below required threshold (0.6500).
GS-0021,2279193,"Buy from @115858 open product (2 days after purchase), faulty, call support, solution: book appointment with a “genius” (which btw hahahah) in a WEEK to resolve.                      Buy from (@)anyotherretailer, open product, faulty, soultion: bring in for refund or replacement.",hardware_issue,payment_or_refund,0.6669492023211504,0.18970653109541502,instructional,"Thanks for reaching out about payment or refund.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Please tap here to DM us: https://t.co/GDrqU22YpT
Also helpful to confirm: Can you provide us details in DM of what you're experiencing?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.1897) is below required threshold (0.3000) or no evidence returned.
GS-0022,2025630,Never saw any problem with my charger till yesterday when it decided to split in half @115858 fix ya damn trash chargers,charging_issue,charging_issue,0.5826412996019379,0.2299039063349901,instructional,"Thanks for reaching out about charging issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Please check out this link, with information on how to split and move the keyboard on your iPad Pro: https://t.co/19rtmutOA8
Also helpful to confirm: What kind of device are you using?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.5826) is below required threshold (0.6500).
GS-0023,2533284,@AppleSupport is there a yearly plan for icloud storage?,subscription_management,storage_issue,0.682904196738369,0.2835706411537885,dm_redirect,"Thanks for writing in about storage issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Which iPhone and iOS are you using? Once we have that, a specialist can take the next step with you.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2836) is below required threshold (0.3000) or no evidence returned.
GS-0024,359538,Pq eu n to conseguindo reinstalar apps da App Store???? @AppleSupport #AppStore,app_store_issue,app_store_issue,0.8689523127819299,0.4260705290404812,dm_redirect,"Thanks for writing in about app store issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,historical_resolution_requires_handoff,Historical resolution pattern requires direct message or private agent handoff.
GS-0025,1363298,"@AppleSupport The device has been restarted, this happens to all contacts, cannot download over cellular.",network_connectivity,app_store_issue,0.41814408977365364,0.4091175262955961,instructional,"Thanks for reaching out about app store issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Please restart and test to see if the same occurs.
Also helpful to confirm: @442647 Do you know what version of the iOS is on the device?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.4181) is below required threshold (0.6500).
GS-0026,1714669,@AppleSupport whenever i try to play a song it comes up with a blank white screen and it happens when i’m on wi-fi and when using data,app_issue,software_update_issue,0.23322520994593876,0.3357858150348051,instructional,"Thanks for reaching out about software update issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Restart your device.
Also helpful to confirm: Can you confirm your iOS version for us?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.2332) is below required threshold (0.6500).
GS-0027,2271841,"Hey @AppleSupport same problem again. When I click ""update all"" Appstore freezes. What do I do? https://t.co/FM8I9fxN45",app_store_issue,app_store_issue,0.323342895188894,0.4287164115356366,instructional,"Thanks for reaching out about app store issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Please check out this helpful article and look for 'Prohibitory symbol': https://t.co/KKHbRRkCpI
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.3233) is below required threshold (0.6500).
GS-0028,1224198,@AppleSupport Thing happens no WiFi and data,network_connectivity,network_connectivity,0.7980964560289372,0.3456807082250959,instructional,"Thanks for reaching out about network connectivity.
Based on how similar historical cases were handled, here is what support typically suggested next:
- @217828 You shouldn't have to restart your iPhone each time.
If this still does not resolve it, similar cases were often moved to DM for closer help.",auto_handle,high_confidence_supported_case,"High confidence classification, strong retrieval similarity, and instructional reply support automated response."
GS-0029,2557273,"@AppleSupport Paid for iCloud, only to be told that yall don't (really) support Windows after trying to restore to a new windows box and I am SOL on getting a refund after paying for a service that doesn't work. #fraud",payment_or_refund,payment_or_refund,0.5772921565960283,0.1993860999187621,instructional,"Thanks for reaching out about payment or refund.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Go to Settings &gt; General &gt; About for the version.
Also helpful to confirm: Which iOS version are you currently running?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.5773) is below required threshold (0.6500).
GS-0030,717614,"iM TALKING TO A CUTE GUY ON TINDER AND EVERY TIME I MESSAGE HIM IT CRASHES FIX IT @115858 OR IM GONNA GO ""I WAS TOLD BY APPLECARE"" ON UR ASS",app_issue,app_issue,0.8283124929824929,0.24699053851201475,instructional,"Thanks for reaching out about app issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Be sure to back up your device prior to updating, and let us know if the issue persists afterwards.
- How to back up: https://t.co/4f8hwT5to6
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2470) is below required threshold (0.3000) or no evidence returned.
GS-0031,1780446,"Hey @115858, how about the next update fixes my shitty battery life. 30 minutes of Pandora shouldn’t put me at 64%... #kthx",battery_drain,battery_drain,0.7941829280557308,0.20866255682113777,instructional,"Thanks for reaching out about battery drain.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Have you tried to update to the last version of iOS?
Also helpful to confirm: What type of device are we working with?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2087) is below required threshold (0.3000) or no evidence returned.
GS-0032,1976583,@AppleSupport my charger burst in the morning and I was sleeping next to it. Here is an image as a proof. As you see lid came off. https://t.co/Ia5ltS9UzF,charging_issue,charging_issue,0.2752510363346787,0.20175526905186691,dm_redirect,"Thanks for writing in about charging issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.2753) is below required threshold (0.6500).
GS-0033,168782,@AppleSupport How do you close a app when it crashes? When you had the home button you could double tap and force quit!,howto_or_feature,howto_or_feature,0.4814412001604276,0.23339457512561207,dm_redirect,"Thanks for writing in about howto or feature. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.4814) is below required threshold (0.6500).
GS-0034,2626675,@AppleSupport I can’t sign into my iCloud on my mac because it’s not letting me type in the verification code anywhere for my Apple ID???,account_access,account_access,0.9210167216664785,0.3156121082897102,dm_redirect,"Thanks for writing in about account access. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,historical_resolution_requires_handoff,Historical resolution pattern requires direct message or private agent handoff.
GS-0035,1592034,@AppleSupport why does it say my iCloud storage is full even though I have like 1.9GB remaining. https://t.co/QFHvTmnUVs,storage_issue,storage_issue,0.9097714310226153,0.37210114665156324,dm_redirect,"Thanks for writing in about storage issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,historical_resolution_requires_handoff,Historical resolution pattern requires direct message or private agent handoff.
GS-0036,2438532,"@AppleSupport How do you play , recent bought songs in a row?? It seams impossible, on iPhone.  In iTunes , Please just tell me straight forward, Please again. Thanks in advance.",howto_or_feature,howto_or_feature,0.42302832655197165,0.25827740823861595,instructional,"Thanks for reaching out about howto or feature.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Please check out https://t.co/Q3ojzTGrTU for tips to accessing the ""shuffle"" feature on your iPhone.
Also helpful to confirm: @389327 What happens while trying to connect to cellular data?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.4230) is below required threshold (0.6500).
GS-0037,2508231,@115858 @AppleSupport @2310 @116333 @4032 @154402 @128305 -Do Apple care &amp; tak respnsibility of actions by their support staff https://t.co/poyEMXHCzz,other_or_unclear,howto_or_feature,0.1900122983719607,0.2915406370337569,instructional,"Thanks for reaching out about howto or feature.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Let's back up your iPhone and update it to iOS 11.1.1.
- Does a restart change anything?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.1900) is below required threshold (0.6500).
GS-0038,2042364,@AppleSupport is there a limit to the number of shared calendars someone can subscribe to from me? Seemingly it’s 4… that right?,howto_or_feature,howto_or_feature,0.27270306868349287,0.33232116020109953,dm_redirect,"Thanks for writing in about howto or feature. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Did you have any other questions? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.2727) is below required threshold (0.6500).
GS-0039,245973,"Hello @AppleSupport, is it possible to buy a Apple Watch Series 3 in different colors? ( i prefer Gold and Blue cobalt Sport band).",howto_or_feature,howto_or_feature,0.5333450893511342,0.2966018178008005,instructional,"Thanks for reaching out about howto or feature.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Check out the details for purchasing here: https://t.co/brpZQUaYqu
Also helpful to confirm: What happens when you attempt to update the watch?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.5333) is below required threshold (0.6500).
GS-0040,143509,@AppleSupport hello I’ve been trying to get verification code for signing in to my apple ID but I didn’t receive any code. Need help.,account_access,account_access,0.9679479857839363,0.28959633591229417,dm_redirect,"Thanks for writing in about account access. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. What kind of issues are you facing with your Apple ID? Once we have that, a specialist can take the next step with you.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2896) is below required threshold (0.3000) or no evidence returned.
GS-0041,258937,@115858 @AppleSupport why is two-factor authentication not working in my region +237 Cameroon. 9digits mobile number.,account_access,account_access,0.7936532341771815,0.3680963492934043,instructional,"Thanks for reaching out about account access.
Based on how similar historical cases were handled, here is what support typically suggested next:
- For any available information on two-factor authentication, check out: https://t.co/RONuUjClwW
- You'll need access to a trusted device in order to sing in and reset info.
If this still does not resolve it, similar cases were often moved to DM for closer help.",auto_handle,high_confidence_supported_case,"High confidence classification, strong retrieval similarity, and instructional reply support automated response."
GS-0042,1151810,"@AppleSupport Hi there, how do I preorder an unlocked iPhone X without a sim card? Is it true that T-mobile version will manage?",howto_or_feature,howto_or_feature,0.5991251109374328,0.29608764554288386,instructional,"Thanks for reaching out about howto or feature.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Check out this link: https://t.co/lzeawymxcf or contact us here: https://t.co/8yjRd1Xo0i Enjoy!
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.5991) is below required threshold (0.6500).
GS-0043,36070,"Can you help me update to iOS 11.1 @AppleSupport it says ""verifying update"" and then error every time I try to install it.",software_update_issue,software_update_issue,0.6515473127362709,0.44479051538795306,instructional,"Thanks for reaching out about software update issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- In this scenario, check out these steps: https://t.co/Ui1yTnOCUz but keep us posted.
- @477592 Let's update to see if that brings back the message.
- Check out this article for help with over-the-air updates: https://t.co/Ui1yTnOCUz
If this still does not resolve it, similar cases were often moved to DM for closer help.",auto_handle,high_confidence_supported_case,"High confidence classification, strong retrieval similarity, and instructional reply support automated response."
GS-0044,667071,@278960 @AppleSupport It had like 20% left but as soon as it happened I plugged it up and it's been plugged in for about 2 hours,charging_issue,hardware_issue,0.22986364979669646,0.29180129252868764,dm_redirect,"Thanks for writing in about hardware issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Which method do you use to charge your iPhone? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.2299) is below required threshold (0.6500).
GS-0045,2631565,"So it’s taken3 @AppleSupport senior engineers 2 weeks now, and my 3 month old iPhone battery is worse than ever, keeps crashing, basically useless, think a refund is on the cards and spend it on a Samsung I can actually use #Appleareshite",battery_drain,payment_or_refund,0.30369466344158974,0.1938221123403547,dm_redirect,"Thanks for writing in about payment or refund. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Which model do you have and is iOS 11.0.3 the version installed? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.3037) is below required threshold (0.6500).
GS-0046,2286087,"@AppleSupport hi team, I just took a subscription for tinder but I cancelled it immediately. How can I get the refund for that subscription. Please tell me.",payment_or_refund,payment_or_refund,0.5611725154921126,0.25147391620828585,dm_redirect,"Thanks for writing in about payment or refund. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.5612) is below required threshold (0.6500).
GS-0047,1837513,@AppleSupport why does the alarm on iOS 11 not make noise when the phone is on vibrate anymore? Made me late for lecture,software_update_issue,software_update_issue,0.41612676828159323,0.3532596242927234,instructional,"Thanks for reaching out about software update issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- @424770 Have you tried a simple restart since updating your device?
- If not, let's restart: https://t.co/OWRDHWSt4h
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.4161) is below required threshold (0.6500).
GS-0048,2038099,hey @115858 make a MacBook charger that doesn’t break every month thx i can’t keep buying these,charging_issue,charging_issue,0.48841668470746447,0.303154827935437,dm_redirect,"Thanks for writing in about charging issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.4884) is below required threshold (0.6500).
GS-0049,710103,@AppleSupport Bought extra iCloud storage today (50GB to 200GB) &amp; it's showing on my account I had to confirm my bank card details too HELP?,payment_or_refund,storage_issue,0.367275137814181,0.3526812503258834,dm_redirect,"Thanks for writing in about storage issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.3673) is below required threshold (0.6500).
GS-0050,832197,@AppleSupport accidentally purchased something from the App Store I didn’t mean to purchase. Please help!,payment_or_refund,payment_or_refund,0.4478705671560041,0.44100393199393434,dm_redirect,"Thanks for writing in about payment or refund. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.4479) is below required threshold (0.6500).
GS-0051,2020068,@AppleSupport these are the second beats X that broke on me in less than 6 months I want my money back,payment_or_refund,payment_or_refund,0.36691922155272166,0.2913739074294802,dm_redirect,"Thanks for writing in about payment or refund. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Did this happen prior to updating to High Sierra, or after? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.3669) is below required threshold (0.6500).
GS-0052,1680013,@AppleSupport Not working. See pic. I️ tried. https://t.co/17qrAn3Bl8,other_or_unclear,other_or_unclear,0.6999681144250842,0.4723543413899257,instructional,"Thanks for reaching out about other or unclear.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Check out this article for help: https://t.co/xU1AGHStV6
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,unsupported_or_unclear_intent,Predicted intent 'other_or_unclear' is unsupported for automated handling.
GS-0053,2255486,"@AppleSupport Battery life reduced to 1/2 a day, iMessages are hidden by reply window/keyboard, processing time slowed considerably",software_update_issue,battery_drain,0.5399471905952197,0.25602690636546366,instructional,"Thanks for reaching out about battery drain.
Based on how similar historical cases were handled, here is what support typically suggested next:
- When did you update to iOS 11.0.3?
Also helpful to confirm: Meet us in DM and let us know which device you're using, to get started.?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.5399) is below required threshold (0.6500).
GS-0054,2347585,@AppleSupport My phone is getting over heated when I am watching you tube and on call give me valuable suggestions and send me apple care centre’s in India Hyderabad Madhapur Hitech city surroundings,hardware_issue,hardware_issue,0.2593276176020935,0.26568186394479376,instructional,"Thanks for reaching out about hardware issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Check here for more info: https://t.co/vDsPkLKaYM
Also helpful to confirm: Is this related to the Face ID issue you recently had?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.2593) is below required threshold (0.6500).
GS-0055,429562,@115858 @AppleSupport I received this invoice from @118721 billed to a name and address I don't recognise. https://t.co/Ge4ok7UTbd,payment_or_refund,account_access,0.1871894440360101,0.2749650747875741,dm_redirect,"Thanks for writing in about account access. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.1872) is below required threshold (0.6500).
GS-0056,1880262,@AppleSupport I've been locked out of messenger on my iPad.,account_access,account_access,0.5916669860610501,0.5688744053760689,dm_redirect,"Thanks for writing in about account access. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.5917) is below required threshold (0.6500).
GS-0057,1537690,@AppleSupport It was restored but I don’t understand why that needed to happen for a software upgrade. My free iCloud storage apparently ran out June 26.,software_update_issue,storage_issue,0.46187886131848166,0.20195350230136958,dm_redirect,"Thanks for writing in about storage issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.4619) is below required threshold (0.6500).
